source,target,route_id
2439,6261,72X-205
6063,6264,72X-205
6235,7144,72X-205
6053,6243,72X-205
6243,7152,72X-205
1941,7510,72X-205
6210,7512,72X-205
6205,7514,72X-205
6201,6203,72X-205
6203,7518,72X-205
6259,7520,72X-205
6287,7524,72X-205
6285,1759,72X-205
6276,6278,72X-205
6278,6128,72X-205
6281,6062,72X-205
6277,6798,72X-205
6279,6066,72X-205
1875,7858,782-221
7344,7346,783-221
7346,7990,783-221
7348,7992,783-221
7383,7881,783-221
7380,7859,783-221
7351,7985,783-221
7349,7340,783-221
7347,7342,783-221
7842,7597,782-221
7842,7839,783-221
7836,7838,783-221
7585,7457,782-221
7590,7289,782-221
7843,7841,783-221
7859,7857,783-221
7857,7103,783-221
7855,7853,782-221
7855,1890,783-221
7834,7614,783-221
7853,7299,782-221
7853,7740,783-221
7851,7497,782-221
7851,7742,783-221
7838,7840,782-221
7838,7843,783-221
7840,7603,782-221
7840,7842,783-221
1030,7898,782-221
1030,7834,783-221
7614,7845,783-221
7845,7596,782-221
7845,7836,783-221
7844,7640,782-221
7844,7739,783-221
7846,7644,782-221
7846,1895,783-221
7848,7850,783-221
7841,7840,783-221
7850,7242,783-221
7990,7348,783-221
7992,7350,783-221
7994,7129,783-221
7996,7352,783-221
7335,7354,783-221
7330,7361,783-221
7333,7356,783-221
7332,7334,783-221
7331,7358,783-221
7334,7359,783-221
7991,7355,783-221
7989,7987,783-221
7987,7353,783-221
7985,7349,783-221
7340,7347,783-221
7350,7994,783-221
7129,7996,783-221
7352,7335,783-221
7354,7333,783-221
7356,7331,783-221
7358,7244,783-221
7360,7860,783-221
7362,7364,783-221
7364,7864,783-221
7366,7866,783-221
7368,7370,783-221
7370,7870,783-221
7372,7872,783-221
7374,7376,783-221
7376,7876,783-221
7378,7878,783-221
7244,7865,782-221
7244,7360,783-221
7198,8863,OUT-202
7200,7204,OUT-202
7199,8868,OUT-202
7197,8222,OUT-202
7865,7810,782-221
7863,7303,782-221
7861,1601,782-221
1601,7855,782-221
7299,7851,782-221
7497,7804,782-221
7804,1030,782-221
7898,7614,782-221
7596,7585,782-221
7457,7495,782-221
7495,7583,782-221
7583,7515,782-221
7581,7513,782-221
7579,7577,782-221
7577,7511,782-221
7575,7505,782-221
7573,7460,782-221
7460,7571,782-221
7571,7462,782-221
7462,7569,782-221
7569,7706,782-221
7706,7567,782-221
7567,7708,782-221
7708,7592,782-221
7592,7589,782-221
7589,7712,782-221
7712,7716,782-221
7716,7572,782-221
7572,7720,782-221
7720,7563,782-221
7563,1897,782-221
1897,7561,782-221
7561,7433,782-221
1880,7564,782-221
7564,7719,782-221
7719,7715,782-221
7715,7566,782-221
7566,7711,782-221
7711,7568,782-221
7568,7707,782-221
7707,7570,782-221
7570,7705,782-221
7705,7469,782-221
7469,7467,782-221
7467,7504,782-221
7574,7506,782-221
7576,7508,782-221
7578,7510,782-221
7580,7582,782-221
7582,7512,782-221
7584,7514,782-221
7586,7516,782-221
7588,7598,782-221
7598,1414,782-221
1414,7590,782-221
7289,7838,782-221
7603,7842,782-221
7597,7794,782-221
7794,7844,782-221
7640,7846,782-221
7644,7854,782-221
7854,7698,782-221
